timestamp,pc_id,state,user_id,session_ttl_remaining
2026-04-01 00:00:00,Lab_202_PC001,Idle,AnonUser_0156,45
2026-04-01 00:00:00,Lab_202_PC002,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC003,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC004,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC005,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC006,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC007,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC008,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC009,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC010,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC011,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC012,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC013,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC014,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC015,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC016,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC017,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC018,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC019,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC020,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC021,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC022,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC023,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC024,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC025,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC026,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC027,In Use,AnonUser_0057,75
2026-04-01 00:00:00,Lab_202_PC028,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC029,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_202_PC030,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC031,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC032,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC033,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC034,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC035,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC036,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC037,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC038,Idle,AnonUser_0155,60
2026-04-01 00:00:00,Lab_206_PC039,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC040,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC041,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC042,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC043,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC044,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC045,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC046,In Use,AnonUser_0170,15
2026-04-01 00:00:00,Lab_206_PC047,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC048,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC049,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC050,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC051,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC052,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC053,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC054,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC055,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC056,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC057,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC058,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_206_PC059,In Use,AnonUser_0127,105
2026-04-01 00:00:00,Lab_206_PC060,Idle,AnonUser_0134,45
2026-04-01 00:00:00,Lab_210_PC061,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC062,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC063,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC064,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC065,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC066,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC067,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC068,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC069,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC070,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC071,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC072,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC073,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC074,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC075,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC076,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC077,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC078,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC079,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC080,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_210_PC081,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC082,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC083,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC084,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC085,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC086,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC087,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC088,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC089,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC090,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC091,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC092,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC093,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC094,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC095,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC096,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC097,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC098,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC099,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC100,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC101,Offline,N/A,N/A
2026-04-01 00:00:00,Lab_219_PC102,Offline,N/A,N/A
